AFFE,AFFENPINSCHER
PASU,PERRO DE PASTOR DE EUROPA DEL SURESTE
PECA,PERRO DE PASTOR DEL CAUCASO
ISFJ,PERRO DE PASTOR ISLANDÉS
CAOS,PERRO DE PASTOR PORTUGUÉS
CARP,PERRO DE PASTOR RUMANO DE LOS CÁRPATOS
CHAR,PERRO DE PASTOR YUGOSLAVO DE CHARPLANINA
PETA,PERRO DE TAIWAN
PEMA,PERRO DOGO MALLORQUIN
SUOM,PERRO FINLANDÉS DE LAPONIA
PELO,PERRO LOBO CHECOSLOVACO
SAAR,PERRO LOBO DE SAARLOOS
PACA,PERRO PASTOR CATALAN
HROV,PERRO PASTOR CROATO
PPAC,PERRO PASTOR DE ASIA CENTRAL
PPPR,PERRO PASTOR DE LOS PIRINEOS - CARA RASA
PPPL,PERRO PASTOR DE LOS PIRINEOS PELO LARGO
PPHO,PERRO PASTOR HOLANDES
MIOR,PERRO PASTOR RUMANO DE MIORITZA
PEPE,PERRO SIN PELO DEL PERU
SMOU,PERRO SMOUS HOLANDÉS
LAPP,PERRO SUECO DE LAPONIA
TEWE,PERRO TEJONERO DE WESTFALIA
TESU,PERRO TEJONERO SUECO
PBGV,PETIT BASSET GRIFFON VENDEEN
PHAR,PHARAOH HOUND
PICH,PINSCHER ALEMAN
PIAU,PINSCHER AUSTRÍACO
PINS,PINSCHER MINIATURA
POIB,PODENCO IBICENCO
POPO,PODENCO PORTUGUES
POIN,POINTER
OWNI,POLSKI OWCZAREK NIZINNY
OWPO,POLSKI OWCZAREK PODHALANSKI
PORC,PORCELAINE
DOCA,PRESA CANARIO
PUPO,PUDELPOINTER
PUG,PUG
PULI,PULI
PUMI,PUMI
PYMD,PYRENEAN MOUNTAIN DOG
RAFE,RAFEIRO DO ALENTEJO
RABR,RASTREADOR BRASILEIRO
HANN,RASTREADOR DE HANNOVER
RHRI,RHODESIAN RIDGEBACK
ROTT,ROTTWEILER
BRAC,SABUESO ALEMÁN - (DEUTSCHE BRACK)
SAFM,SABUESO ANGLO-FRANCÉS MEDIANO
SAAU,SABUESO AUSTRIACO NEGRO Y FUEGO
SABO,SABUESO DE BOSNIA DE PELO CERDOSO
SHIG,SABUESO DE HYGEN
SIPD,SABUESO DE ISTRIA DE PELO DURO
SMON,SABUESO DE MONTAÑA DEL MONTENEGRO
SMAL,SABUESO DE SMÅLAND
SATR,SABUESO DE TRANSILVANIA
SARI,SABUESO DEL ARIEGE
SATI,SABUESO DEL TIROL
SAVS,SABUESO DEL VALLE DE SAVE
SAES,SABUESO ESLOVACO
SASP,SABUESO ESPAÑOL
SIPA,SABUESO ESTIRIO DE PELO ÁSPERO
SAFI,SABUESO FINLANDÉS
SFBO,SABUESO FRANCÉS BLANCO Y NARANJA
SFBN,SABUESO FRANCÉS BLANCO Y NEGRO
FRTR,SABUESO FRANCES TRICOLOR
SHAL,SABUESO HALDEN
SAHA,SABUESO HAMILTON
SAHE,SABUESO HELÉNICO
SITD,SABUESO ITALIANO DE PELO DURO
SITR,SABUESO ITALIANO DE PELO RASO
SANO,SABUESO NORUEGO
SAPO,SABUESO POITEVIN
SPOL,SABUESO POLACO
SASC,SABUESO SCHILLER
SSER,SABUESO SERBIO
SASU,SABUESO SUIZO - SCHWEIZER LAUFHUND
SSPE,SABUESO SUIZO PEQUEÑO
SALU,SALUKI
SAMO,SAMOYEDO
SABE,SAN BERNARDO
SHAP,SCHAPENDOES
SCHI,SCHIPPERKE
SCGI,SCHNAUZER GIGANTE
SCMI,SCHNAUZER MINIATURA
SCST,SCHNAUZER STANDARD
SCTE,SCOTTISH TERRIER
SETE,SEALYHAM TERRIER
SEGO,SETTER GORDON
SEIN,SETTER INGLES
SEIR,SETTER IRLANDES
IRWS,SETTER IRLANDES ROJO Y BLANCO
SHPE,SHAR PEI
SHSH,SHETLAND SHEEPDOG
SHIB,SHIBA INU
SHTZ,SHIH TZU
SHIK,SHIKOKU
SIHU,SIBERIAN HUSKY
SKTE,SKYE TERRIER
SLOU,SLOUGHI
SLCU,SLOVENSKY CUVAC
EPAP,SPANIEL AZUL DE PICARDIA
EPPA,SPANIEL DE PONT-AUDEMER
EPFR,SPANIEL FRANCÉS
SPPI,SPANIEL PICARDO
SPIT,SPINONE ITALIANO
VAST,SPITZ DE LOS VISIGODOS
SPNO,SPITZ DE NORRBOTTEN
SPFI,SPITZ FINLANDES
STBT,STAFFORDSHIRE BULL TERRIER
TCTE,TCHIORNY TERRIER
TERR,TERRANOVA
TEBR,TERRIER BRASILEÑO
TECA,TERRIER CAZADOR ALEMAN
NITE,TERRIER JAPONÉS
TENE,TERRIER NEGRO RUSO
THBA,THAI BANGKAEW DOG
THRI,THAI RIDGEBACK DOG
TISP,TIBETAN SPANIEL
TITE,TIBETAN TERRIER
TOSA,TOSA INU
VOLP,VOLPINO ITALIANO
VOEO,VOSTOCHNO-EVROPEISKAYA OVCHARKA
WEIM,WEIMARANER
WECA,WELSH CORGI CARDIGAN
WEPE,WELSH CORGI PEMBROKE
WESS,WELSH SPRINGER SPANIEL
WETE,WELSH TERRIER
WHWT,WEST HIGHLAND WHITE TERRIER
WHIP,WHIPPET
XOLO,XOLOITZCUINTLE
YOTE,YORKSHIRE TERRIER
AMBU,AMERICAN BULLY
PITI,AMERICAN PIT BULL TERRIER
BITE,BIEWER TERRIER
BORI,BOERBOEL
GBPA,GALGO BARBUCHO PATAGONICO
OVGA,OVELHEIRO GAUCHO
PAAR,PAMPA ARGENTINO
PILA,PERRO PILA ARGENTINO
RABA,RATONERO BODEGUERO ANDALUZ
TASP,TERRIER AMERICANO SIN PELO
